Composition,CompositionA,spin_d_carbon,spin_d_A,egap,thermal_expansion,debye_temperature,formation_enthalpy,lattice_parameter,bulk_modulus,poissons_ratio,shear_modulus,youngs_modulus,thermal_conductivity,run_count
Ag1C1,Ag,0,0,,,,2.2338320000000005,4.668270951010516,,,,,,5
Ag2C2,Ag,0,0,,,,2.2328,4.666329454,,,,,,1
Al1C1,Al,0,0,,,,0.485762,4.268798847502474,,,,,,3
Al2C2,Al,0,0,,,,0.4853446,4.269115634838284,,,,,,5
Al3C3,Al,0,0,,,,0.486453,4.268591525154436,,,,,,1
Al4C4,Al,0,0,,,,0.485878,4.269157345689188,,,,,,1
As1C1,As,0,0,,,,1.482065,4.480056599311412,,,,,,4
Au1C1,Au,0,0,,,,2.0879725,4.6721210514215805,,,,,,4
Au2C2,Au,0,0,,,,2.08451,4.671167992362114,,,,,,1
B1C1,B,0,0,,,,1.4183200000000002,3.5934035582861052,,,,,,3
B2C2,B,0,0,,,,1.4210600000000002,3.5928613145509365,,,,,,2
Ba1C1,Ba,0.806,0.149,,,,1.3920024999999998,6.021984165101188,,,,,,4
Ba2C2,Ba,0.8067500000000001,0.149,,,,1.3922175,6.0211429013889255,,,,,,4
Be1C1,Be,0,0,,,,1.30177,3.867670501689311,,,,,,3
Bi1C1,Bi,0,0,,,,1.680525,5.138080958567156,,,,,,4
Bi2C2,Bi,0,0,,,,1.68055,5.138261510402349,,,,,,1
Br1C1,Br,0,0,,,,2.630745,4.957737109415744,,,,,,4
C1Ca1,Ca,0.815,0.135,,,,1.1306825,5.286418207813162,,,,,,4
C1Cd1,Cd,0,0,,,,1.9777200000000001,4.8530133250886305,,,,,,4
C1Co1,Co,0.026,0.274,,,,0.8196567499999999,4.008847081990198,,,,,,4
C1Cr1,Cr,0,-0.0006,,4.52484e-05,632.947,0.1733298,4.071425327498097,247.842,0.308903,108.553,284.171,14.1711,5
C1Cs1,Cs,1.193,0.097,,,,2.25759,6.816588674635319,,,,,,2
C1Cu1,Cu,0,0,,,,1.7004066666666666,4.216585964665081,,,,,,3
C1Fe1,Fe,0,0,,,,0.5981095,3.9937088596303982,,,,,,4
C1Ga1,Ga,0,0,,,,1.214235,4.390279851215162,,,,,,4
C1Ge1,Ge,0,0,,,,1.2831125,4.389472071270335,,,,,,4
C1Hf1,Hf,0,0,,2.25116e-05,537.019,-0.946494571,4.650214107254113,237.737,0.189265,186.35,443.239,65.1477,7
C1Hg1,Hg,0,0,,,,2.2987025,4.909819248978874,,,,,,4
C1I1,I,0,0,,,,2.49298,5.232882079287128,,,,,,4
C1In1,In,0,0,,,,1.4965216666666665,4.830523079860814,,,,,,6
C1Ir1,Ir,0.022000000000000002,0.122,,,,1.43596,4.405811879044503,,,,,,3
C1K1,K,1.219,0.066,,,,2.30599,6.179561539159307,,,,,,4
C1Li1,Li,0.002,0,,,,1.98438,4.277660720293785,,,,,,3
C1Mg1,Mg,0,0,,,,1.32484,4.622700228182999,,,,,,3
C1Mn1,Mn,-0.14,2.221,,,,0.30956175,4.095930920631537,,,,,,4
C1Mo1,Mo,0,0,,2.05739e-05,611.957,0.21219040000000003,4.382500743360696,334.083,0.312958,142.779,374.925,40.5291,5
C1Na1,Na,1.231,0.018,,,,2.4929099999999997,5.474964121385521,,,,,,3
C1Nb1,Nb,0,0,,1.8757e-05,730.085,-0.542660222,4.489980867078204,299.616,0.230638,196.74,484.231,75.4542,9
C1Ni1,Ni,0,0,,,,1.101345,4.062593445891682,,,,,,4
C1Os1,Os,0,0,,,,1.38649,4.362519095271408,,,,,,3
C1P1,P,0,0,,,,1.185695,4.162654555345528,,,,,,4
C1Pb1,Pb,0,0,,,,1.811765,5.0982321176498875,,,,,,4
C1Pd1,Pd,0,0,,,,1.4911325,4.442925256081284,,,,,,4
C1Pt1,Pt,0,0,,,,1.4765475,4.475779332539393,,,,,,4
C1Rb1,Rb,1.2077499999999999,0.074,,,,2.30427,6.480185018720336,,,,,,4
C1Re1,Re,0,0.002,,,,0.936073,4.362355618097553,,,,,,3
C1Rh1,Rh,0.069,0.17899999999999996,,,,1.08719,4.358929120046274,,,,,,3
C1Ru1,Ru,0,0,,,,0.905407,4.321639609244627,,,,,,4
C1Sb1,Sb,0,0,,,,1.35775,4.891683797389682,,,,,,4
C1Sc1,Sc,0,0,,3.35217e-05,595.138,-0.141557,4.685851514278241,153.601,0.307883,67.6882,177.057,26.9782,4
C1Se1,Se,0,0,,,,1.923505,4.603864112744722,,,,,,4
C1Si1,Si,0,0,,,,0.5348059999999999,4.056226767676649,,,,,,4
C1Sn1,Sn,0,0,,,,1.25588,4.795422427,,,,,,4
C1Sr1,Sr,0.835,0.11925,,,,1.2640425,5.6772737933812465,,,,,,4
C1Ta1,Ta,0,0,,1.93659e-05,563.069,-0.58063425,4.479337363994908,321.384,0.229615,212.011,521.383,64.3567,24
C1Tc1,Tc,0,0,,,,0.644485,4.336377873596269,,,,,,3
C1Te1,Te,0,0,,,,1.8436825,4.997909792216116,,,,,,4
C1Ti1,Ti,0,0,,2.10396e-05,890.952,-0.817983,4.337621212576353,250.112,0.211539,178.651,432.886,84.6612,5
C1Tl1,Tl,0,0,,,,2.1054950000000003,5.039203809,,,,,,4
C1V1,V,0,0,,1.9637e-05,923.975,-0.4175352,4.163730012465594,304.739,0.220996,208.903,510.14,87.7031,5
C1W1,W,0,0,,1.99439e-05,470.028,0.32325360000000003,4.390453128250533,364.103,0.319009,149.884,395.396,34.3509,5
C1Y1,Y,0,0,,3.7985e-05,460.023,0.036543374999999996,5.094665698717947,123.689,0.274763,65.5633,167.156,19.9858,4
C1Zn1,Zn,0,0,,,,1.6496425000000001,4.4015782848618095,,,,,,4
C1Zr1,Zr,0,0,,2.19512e-05,675.947,-0.812483444,4.723688396812266,217.05,0.209052,156.693,378.901,67.4176,9
C2Ca2,Ca,0.8144999999999999,0.135,,,,1.1313199999999999,5.285816664356883,,,,,,6
C2Cd2,Cd,0,0,,,,1.977325,4.854186344890747,,,,,,2
C2Cr2,Cr,-0.119,1.447,,,,0.159307,4.107402846085805,,,,,,1
C2Fe2,Fe,0,0,,,,0.5981928571428572,3.9936721258364836,,,,,,7
C2Ga2,Ga,0,0,,,,1.21469,4.393076951578469,,,,,,2
C2Ge2,Ge,0,0,,,,1.282105,4.388376028706405,,,,,,4
C2Hf2,Hf,0,0,,,,-0.9480747,4.6509103064490995,,,,,,10
C2Hg2,Hg,0,0,,,,2.3022275,4.9097397044036235,,,,,,4
C2In2,In,0,0,,,,1.4953825,4.830110911130054,,,,,,4
C2K2,K,1.219,0.066,,,,2.3060210000000003,6.179399036379226,,,,,,10
C2Mg2,Mg,0.00175,0,,,,1.325275,4.622493003617485,,,,,,4
C2Mn2,Mn,-0.141125,2.085625,,,,0.309352125,4.0852022367834255,,,,,,8
C2Mo2,Mo,0,0,,,,0.214948,4.382582659821558,,,,,,1
C2Nb2,Nb,0,0,,,,-0.545584,4.482864827730056,,,,,,7
C2Pb2,Pb,0,0,,,,1.81115,5.098329909032709,,,,,,4
C2Rb2,Rb,1.2081111111111111,0.074222222,,,,2.304038888888889,6.4802872177372155,,,,,,9
C2Sc2,Sc,0.000222222,0.000111111,,,,-0.140045556,4.686219489819994,,,,,,9
C2Si2,Si,0,0,,,,0.5350358571428572,4.056516258749296,,,,,,7
C2Sn2,Sn,0,0,,,,1.2563866666666668,4.797300628939751,,,,,,9
C2Sr2,Sr,0.8358333333333333,0.11916666666666666,,,,1.2640166666666666,5.676985585,,,,,,6
C2Ta2,Ta,0,0,,,,-0.584941286,4.481945240332023,,,,,,7
C2Ti2,Ti,0,0,,,,-0.8190681,4.337671165813169,,,,,,10
C2Tl2,Tl,0,0,,,,2.103905,5.037145306411408,,,,,,4
C2V2,V,0,0,,,,-0.418899111,4.163593534349022,,,,,,9
C2Y2,Y,0,0,,,,0.038333839999999994,5.094164528360965,,,,,,10
C2Zn2,Zn,0,0,,,,1.6481933333333334,4.400818154289486,,,,,,3
C2Zr2,Zr,0,0,,,,-0.8131974,4.724475672711977,,,,,,10
C3Ga3,Ga,0,0,,,,1.21361,4.390756536278209,,,,,,1
C3Hf3,Hf,0,0,,,,-0.945232,4.650837068766383,,,,,,1
C3K3,K,1.219,0.066,,,,2.30597,6.179164654,,,,,,1
C3Nb3,Nb,0,0,,,,-0.548735,4.483539312669791,,,,,,1
C3Rb3,Rb,1.208,0.074,,,,2.30424,6.481160438419229,,,,,,1
C3Sc3,Sc,0,0,,,,-0.136684,4.687234612135557,,,,,,1
C3Sn3,Sn,0,0,,,,1.25486,4.7927959060869485,,,,,,1
C3Ta3,Ta,0,0,,,,-0.588928,4.4814910534308385,,,,,,1
C3Ti3,Ti,0,0,,,,-0.816932,4.337753018651543,,,,,,1
C3V3,V,0,0,,,,-0.418818,4.163575164572626,,,,,,1
C3Y3,Y,0,0,,,,0.0396632,5.094403703725853,,,,,,1
C3Zr3,Zr,0,0,,,,-0.810632,4.7242347643586795,,,,,,1
C4Cu4,Cu,0,0,,,,1.70193,4.217135211899138,,,,,,1
C4Hf4,Hf,0,0,,,,-0.947651,4.650221595020363,,,,,,1
C4K4,K,1.219,0.066,,,,2.30599,6.1797553343089735,,,,,,1
C4Mg4,Mg,-0.116,-0.005,,,,1.32546,4.623518493102031,,,,,,1
C4Nb4,Nb,0,0,,,,-0.542754,4.482579562,,,,,,1
C4Rb4,Rb,1.208,0.075,,,,2.30427,6.4796841028750585,,,,,,1
C4Sc4,Sc,0,0,,,,-0.140642,4.686030650575186,,,,,,1
C4Si4,Si,0,0,,,,0.534996,4.054037532264999,,,,,,1
C4Ta4,Ta,0,0,,,,-0.581093,4.4811341861583465,,,,,,1
C4Ti4,Ti,0,0,,,,-0.818757,4.337691899900102,,,,,,2
C4V4,V,0,0,,,,-0.418783,4.163281588421388,,,,,,1
C4Y4,Y,0,0,,,,0.0385653,5.094020925577521,,,,,,2
C4Zr4,Zr,0,0,,,,-0.812709333,4.724438838059176,,,,,,3
C8Cr8,Cr,-0.115,1.364,,,,0.158124,4.102803951488882,,,,,,1
C8Hf8,Hf,0,0,,,,-0.946631,4.650352615184005,,,,,,1
C8Mn8,Mn,-0.139,2.012,,,,0.309436,4.079483065995369,,,,,,1
C8Mo8,Mo,0,0,,,,0.213787,4.383009545238104,,,,,,1
C8Nb8,Nb,0,0,,,,-0.544768,4.484746709466685,,,,,,1
C8Sc8,Sc,0,0,,,,-0.142041,4.686068599981579,,,,,,1
C8Ta8,Ta,0,0,,,,-0.586216,4.481006364054704,,,,,,1
C8Ti8,Ti,0,0,,,,-0.818546,4.337698100451315,,,,,,1
C8W8,W,0,0,,,,0.323987,4.390527140965533,,,,,,1
C8Y8,Y,0,0,,,,0.0367497,5.094502598723582,,,,,,1
C8Zr8,Zr,0,0,,,,-0.812065,4.723624824928996,,,,,,1
