Composition,Composition_A,spin_d_carbon,spin_d_A,egap,thermal_expansion,debye_temperature,formation_enthalpy,lattice_parameter,bulk_modulus,poissons_ratio,shear_modulus,youngs_modulus,thermal_conductivity,run_count
Al1C1,Al,0.0,0.0,,,,0.485762,4.268798847502474,,,,,,3
Al2C2,Al,0.0,0.0,,,,0.4853446,4.269115634838284,,,,,,5
Al3C3,Al,0.0,0.0,,,,0.486453,4.268591525154436,,,,,,1
Al4C4,Al,0.0,0.0,,,,0.485878,4.269157345689188,,,,,,1
C1Co1,Co,0.026,0.274,,,,0.8196567499999999,4.008847081990198,,,,,,4
C1Cr1,Cr,0.0,-0.0006,,4.52484e-05,632.947,0.1733298,4.071425327498097,247.842,0.308903,108.553,284.171,14.1711,5
C1Cu1,Cu,0.0,0.0,,,,1.7004066666666666,4.216585964665081,,,,,,3
C1Fe1,Fe,0.0,0.0,,,,0.5981095,3.9937088596303982,,,,,,4
C1Hf1,Hf,0.0,0.0,,2.25116e-05,537.019,-0.946494571,4.650214107254113,237.737,0.189265,186.35,443.239,65.1477,7
C1Ir1,Ir,0.022,0.122,,,,1.43596,4.405811879044503,,,,,,3
C1Mn1,Mn,-0.14,2.221,,,,0.30956175,4.095930920631537,,,,,,4
C1Mo1,Mo,0.0,0.0,,2.05739e-05,611.957,0.2121904,4.382500743360696,334.083,0.312958,142.779,374.925,40.5291,5
C1Nb1,Nb,0.0,0.0,,1.8757e-05,730.085,-0.542660222,4.489980867078204,299.616,0.230638,196.74,484.231,75.4542,9
C1Ni1,Ni,0.0,0.0,,,,1.101345,4.062593445891682,,,,,,4
C1Os1,Os,0.0,0.0,,,,1.38649,4.362519095271408,,,,,,3
C1Pd1,Pd,0.0,0.0,,,,1.4911325,4.442925256081284,,,,,,4
C1Re1,Re,0.0,0.002,,,,0.936073,4.362355618097553,,,,,,3
C1Rh1,Rh,0.069,0.1789999999999999,,,,1.08719,4.358929120046274,,,,,,3
C1Ru1,Ru,0.0,0.0,,,,0.905407,4.321639609244627,,,,,,4
C1Sc1,Sc,0.0,0.0,,3.35217e-05,595.138,-0.141557,4.685851514278241,153.601,0.307883,67.6882,177.057,26.9782,4
C1Ta1,Ta,0.0,0.0,,1.93659e-05,563.069,-0.58063425,4.479337363994908,321.384,0.229615,212.011,521.383,64.3567,24
C1Tc1,Tc,0.0,0.0,,,,0.644485,4.336377873596269,,,,,,3
C1Ti1,Ti,0.0,0.0,,2.10396e-05,890.952,-0.817983,4.337621212576353,250.112,0.211539,178.651,432.886,84.6612,5
C1V1,V,0.0,0.0,,1.9637e-05,923.975,-0.4175352,4.163730012465594,304.739,0.220996,208.903,510.14,87.7031,5
C1W1,W,0.0,0.0,,1.99439e-05,470.028,0.3232536,4.390453128250533,364.103,0.319009,149.884,395.396,34.3509,5
C1Y1,Y,0.0,0.0,,3.7985e-05,460.023,0.0365433749999999,5.094665698717947,123.689,0.274763,65.5633,167.156,19.9858,4
C1Zn1,Zn,0.0,0.0,,,,1.6496425,4.4015782848618095,,,,,,4
C1Zr1,Zr,0.0,0.0,,2.19512e-05,675.947,-0.812483444,4.723688396812266,217.05,0.209052,156.693,378.901,67.4176,9
C2Cr2,Cr,-0.119,1.447,,,,0.159307,4.107402846085805,,,,,,1
C2Fe2,Fe,0.0,0.0,,,,0.5981928571428572,3.993672125836484,,,,,,7
C2Hf2,Hf,0.0,0.0,,,,-0.9480747,4.6509103064491,,,,,,10
C2Mn2,Mn,-0.141125,2.085625,,,,0.309352125,4.0852022367834255,,,,,,8
C2Mo2,Mo,0.0,0.0,,,,0.214948,4.382582659821558,,,,,,1
C2Nb2,Nb,0.0,0.0,,,,-0.545584,4.482864827730056,,,,,,7
C2Sc2,Sc,0.000222222,0.000111111,,,,-0.140045556,4.686219489819994,,,,,,9
C2Ta2,Ta,0.0,0.0,,,,-0.584941286,4.481945240332023,,,,,,7
C2Ti2,Ti,0.0,0.0,,,,-0.8190681,4.337671165813169,,,,,,10
C2V2,V,0.0,0.0,,,,-0.418899111,4.163593534349022,,,,,,9
C2Y2,Y,0.0,0.0,,,,0.0383338399999999,5.094164528360965,,,,,,10
C2Zn2,Zn,0.0,0.0,,,,1.6481933333333334,4.400818154289486,,,,,,3
C2Zr2,Zr,0.0,0.0,,,,-0.8131974,4.724475672711977,,,,,,10
C3Hf3,Hf,0.0,0.0,,,,-0.945232,4.650837068766383,,,,,,1
C3Nb3,Nb,0.0,0.0,,,,-0.548735,4.483539312669791,,,,,,1
C3Sc3,Sc,0.0,0.0,,,,-0.136684,4.687234612135557,,,,,,1
C3Ta3,Ta,0.0,0.0,,,,-0.588928,4.481491053430839,,,,,,1
