Composition,Composition_A,spin_d_carbon,spin_d_A,egap,thermal_expansion,debye_temperature,formation_enthalpy,lattice_parameter,bulk_modulus,poissons_ratio,shear_modulus,youngs_modulus,thermal_conductivity,run_count
Al1C1,Al,0.0,0.0,nan,nan,nan,0.48585940000000005,4.2689158382960954,nan,nan,nan,nan,nan,2.5
C1Co1,Co,0.026,0.274,nan,nan,nan,0.8196567499999999,4.008847081990198,nan,nan,nan,nan,nan,4.0
C1Cr1,Cr,0.0,-0.00019999999999999998,nan,4.52484e-05,632.947,0.8239486555555556,4.093906717264526,247.842,0.308903,108.553,284.171,14.1711,4.0
C1Hf1,Hf,0.011,0.061,nan,2.25116e-05,537.019,0.24473271449999995,4.528012993149308,237.737,0.189265,186.35,443.239,65.1477,5.0
C1Mn1,Mn,-0.07,1.1105,nan,2.05739e-05,611.957,0.260876075,4.239215831996116,334.083,0.312958,142.779,374.925,40.5291,4.5
C1Nb1,Nb,0.0,0.0004,nan,1.8757e-05,730.085,0.8744760556000001,4.344074856484026,299.616,0.230638,196.74,484.231,75.4542,4.6
C1Rh1,Rh,0.069,0.1789999999999999,nan,nan,nan,1.08719,4.358929120046274,nan,nan,nan,nan,nan,3.0
C1Ru1,Ru,0.0,0.0,nan,2.64438e-05,579.1034999999999,0.061071916666666635,4.4956094958392585,237.4925,0.268749,139.8496,349.22,45.66745,10.666666666666666
C1Tc1,Tc,0.0,0.0,nan,2.03383e-05,907.4635000000001,-0.19701106666666668,4.279243032879405,277.4255,0.2162675,193.777,471.51300000000003,86.18215000000001,4.333333333333333
C1W1,W,-0.023799999999999998,0.2894,nan,2.6626700000000004e-05,535.3326666666667,0.2712526061999999,4.543557670945672,234.94733333333338,0.267608,124.04676666666667,313.81766666666664,40.58476666666667,4.6
C2Fe2,Fe,0.0,0.0,nan,nan,nan,0.5981928571428572,3.993672125836484,nan,nan,nan,nan,nan,7.0
C2Hf2,Hf,0.0,0.0,nan,nan,nan,-0.9480747,4.6509103064491,nan,nan,nan,nan,nan,10.0
C2Mn2,Mn,-0.141125,2.085625,nan,nan,nan,0.309352125,4.0852022367834255,nan,nan,nan,nan,nan,8.0
C2Mo2,Mo,0.0,0.0,nan,nan,nan,0.214948,4.382582659821558,nan,nan,nan,nan,nan,1.0
C2Nb2,Nb,0.0,0.0,nan,nan,nan,-0.545584,4.482864827730056,nan,nan,nan,nan,nan,7.0
C2Sc2,Sc,0.000222222,0.000111111,nan,nan,nan,-0.140045556,4.686219489819994,nan,nan,nan,nan,nan,9.0
C2Ta2,Ta,0.0,0.0,nan,nan,nan,-0.027276264733333288,4.495638524628932,nan,nan,nan,nan,nan,7.8
C2Zr2,Zr,0.0,0.0,nan,nan,nan,-0.6065552799999999,4.605515543942909,nan,nan,nan,nan,nan,2.8
C3Ti3,Ti,0.0,0.0,nan,nan,nan,-0.816932,4.337753018651543,nan,nan,nan,nan,nan,1.0
C3V3,V,0.0,0.0,nan,nan,nan,-0.08710156000000002,4.569914087915332,nan,nan,nan,nan,nan,1.0
C4Nb4,Nb,0.0,0.0,nan,nan,nan,-0.5208115,4.496859074658408,nan,nan,nan,nan,nan,1.25
C4V4,V,0.0,0.0,nan,nan,nan,-0.19010885,4.628651256999454,nan,nan,nan,nan,nan,1.5
C4Zr4,Zr,-0.0508,0.6752,nan,nan,nan,-0.2155986666,4.3880176031931075,nan,nan,nan,nan,nan,1.4
C8Nb8,Nb,0.0,0.0,nan,nan,nan,-0.3434045,4.585407654724132,nan,nan,nan,nan,nan,1.0
C8Ta8,Ta,0.0,0.0,nan,nan,nan,-0.37121805999999996,4.605471805824826,nan,nan,nan,nan,nan,1.0
