Composition,atomic_mass,electronegativity,atomic_radius,metallic_radius,melting_point,thermal_expansion,thermal_conductivity,vickers_hardness,bulk_modulus,youngs_modulus,poissons_ratio,VEC,30
Ce,140.116,1.12,1.85,1.818,1068.0,6.3e-06,11.0,270.0,22.0,34.0,0.24,4,
Y,88.90585,1.22,1.8,1.8,1799.0,1.06e-05,17.0,,41.0,64.0,0.24,3,
Pu,244.0,1.28,1.75,1.59,912.5,,6.0,,,96.0,0.21,6,
Th,232.03806,1.3,1.8,1.79,2115.0,1.1e-05,54.0,350.0,54.0,79.0,0.27,4,
Hf,178.49,1.3,1.55,1.59,2506.0,5.9e-06,23.0,1760.0,110.0,78.0,0.37,4,
Zr,91.224,1.33,1.55,1.6,2128.0,5.7e-06,23.0,903.0,,68.0,0.34,4,
Sc,44.955912,1.36,1.6,1.62,1814.0,1.02e-05,16.0,,57.0,74.0,0.28,3,
Ta,180.94788,1.5,1.45,1.46,3290.0,6.3e-06,57.0,873.0,200.0,186.0,0.34,5,
Pa,231.03588,1.5,1.8,1.63,1841.0,,47.0,,,,,5,
Ti,47.867,1.54,1.4,1.47,1941.0,8.6e-06,22.0,970.0,110.0,116.0,0.32,4,
Mn,54.938045,1.55,1.4,1.27,1519.0,2.17e-05,7.8,,120.0,198.0,,4,
Nb,92.90638,1.6,1.45,1.46,2750.0,7.3e-06,54.0,1320.0,170.0,105.0,0.4,5,
Al,26.9815386,1.61,1.25,1.43,933.47,2.31e-05,235.0,167.0,76.0,70.0,0.35,3,
V,50.9415,1.63,1.35,1.34,2183.0,8.4e-06,31.0,628.0,160.0,128.0,0.37,5,
Zn,65.409,1.65,1.35,1.34,692.68,3.02e-05,120.0,,70.0,108.0,0.25,2,
Cr,51.9961,1.66,1.4,1.28,2180.0,4.9e-06,94.0,1060.0,160.0,279.0,0.21,6,
Fe,55.845,1.83,1.4,1.26,1811.0,1.18e-05,80.0,608.0,170.0,211.0,0.29,3,
Co,58.933195,1.88,1.35,1.25,1768.0,1.3e-05,100.0,1043.0,180.0,209.0,0.31,9,
Re,186.207,1.9,1.35,1.37,3459.0,6.2e-06,48.0,2450.0,370.0,463.0,0.3,7,
Cu,63.546,1.9,1.35,1.28,1357.77,1.65e-05,400.0,369.0,140.0,130.0,0.34,2,
Tc,98.0,1.9,1.35,1.36,2430.0,,51.0,,,,,6,
Ni,58.6934,1.91,1.35,1.24,1728.0,1.34e-05,91.0,638.0,180.0,200.0,0.31,2,
Mo,95.94,2.16,1.45,1.39,2896.0,4.8e-06,139.0,1530.0,230.0,329.0,0.31,6,
Pd,106.42,2.2,1.4,1.37,1828.05,1.18e-05,72.0,461.0,180.0,121.0,0.39,4,
Os,190.23,2.2,1.3,1.35,3306.0,5.1e-06,88.0,,,,0.25,6,
Ir,192.217,2.2,1.35,1.355,2739.0,6.4e-06,150.0,1760.0,320.0,528.0,0.26,6,
Ru,101.07,2.2,1.3,1.34,2607.0,6.4e-06,120.0,,220.0,447.0,0.3,6,
Rh,102.9055,2.28,1.35,1.34,2237.0,8.2e-06,150.0,1246.0,380.0,275.0,0.26,6,
W,183.84,2.36,1.35,1.39,3695.0,4.5e-06,170.0,3430.0,310.0,411.0,0.28,6,
C,12.0107,2.55,0.7,0.7,3800.0,7.1e-06,140.0,,33.0,,,4,
