Composition,atomic_mass,electronegativity,atomic_radius,metallic_radius,melting_point,thermal_expansion,thermal_conductivity,vickers_hardness,bulk_modulus,youngs_modulus,poissons_ratio,vec
Cs,132.9054519,0.79,2.6,2.65,301.59,,36.0,,1.6,1.7,,1
K,39.0983,0.82,2.2,2.27,336.53,,100.0,,3.1,,,1
Rb,85.4678,0.82,2.35,2.48,312.46,,58.0,,2.5,2.4,,1
Ba,137.327,0.89,2.15,2.22,1000.0,2.06e-05,18.0,,9.6,13.0,,2
Na,22.98976928,0.93,1.8,1.86,370.87,7.1e-05,140.0,,6.3,10.0,,1
Sr,87.62,0.95,2.0,2.15,1050.0,2.25e-05,35.0,,,,0.28,2
Li,6.941,0.98,1.45,1.52,453.69,4.6e-05,85.0,,11.0,4.9,,1
Ca,40.078,1.0,1.8,1.97,1115.0,2.23e-05,200.0,,17.0,20.0,0.31,2
Y,88.90585,1.22,1.8,1.8,1799.0,1.06e-05,17.0,,41.0,64.0,0.24,3
Hf,178.49,1.3,1.55,1.59,2506.0,5.9e-06,23.0,1760.0,110.0,78.0,0.37,4
Mg,24.305,1.31,1.5,1.6,923.0,8.2e-06,160.0,,45.0,45.0,0.29,2
Zr,91.224,1.33,1.55,1.6,2128.0,5.7e-06,23.0,903.0,,68.0,0.34,4
Sc,44.955912,1.36,1.6,1.62,1814.0,1.02e-05,16.0,,57.0,74.0,0.28,3
Ta,180.94788,1.5,1.45,1.46,3290.0,6.3e-06,57.0,873.0,200.0,186.0,0.34,5
Ti,47.867,1.54,1.4,1.47,1941.0,8.6e-06,22.0,970.0,110.0,116.0,0.32,4
Mn,54.938045,1.55,1.4,1.27,1519.0,2.17e-05,7.8,,120.0,198.0,,4
Be,9.012182,1.57,1.05,1.12,1560.0,1.13e-05,190.0,1670.0,130.0,287.0,0.032,2
Nb,92.90638,1.6,1.45,1.46,2750.0,7.3e-06,54.0,1320.0,170.0,105.0,0.4,5
Al,26.9815386,1.61,1.25,1.43,933.47,2.31e-05,235.0,167.0,76.0,70.0,0.35,3
Tl,204.3833,1.62,1.9,1.7,577.0,2.99e-05,46.0,,43.0,8.0,0.45,3
V,50.9415,1.63,1.35,1.34,2183.0,8.4e-06,31.0,628.0,160.0,128.0,0.37,5
Zn,65.409,1.65,1.35,1.34,692.68,3.02e-05,120.0,,70.0,108.0,0.25,2
Cr,51.9961,1.66,1.4,1.28,2180.0,4.9e-06,94.0,1060.0,160.0,279.0,0.21,6
Cd,112.411,1.69,1.55,1.51,594.22,3.08e-05,97.0,,42.0,50.0,0.3,2
In,114.818,1.78,1.55,1.67,429.75,3.21e-05,82.0,,,11.0,,3
Ga,69.723,1.81,1.3,1.35,302.91,0.00012,29.0,,,,,3
Fe,55.845,1.83,1.4,1.26,1811.0,1.18e-05,80.0,608.0,170.0,211.0,0.29,3
Co,58.933195,1.88,1.35,1.25,1768.0,1.3e-05,100.0,1043.0,180.0,209.0,0.31,9
Si,28.0855,1.9,1.1,1.1,1687.0,2.6e-06,150.0,,100.0,47.0,,4
Re,186.207,1.9,1.35,1.37,3459.0,6.2e-06,48.0,2450.0,370.0,463.0,0.3,7
Tc,98.0,1.9,1.35,1.36,2430.0,,51.0,,,,,6
Cu,63.546,1.9,1.35,1.28,1357.77,1.65e-05,400.0,369.0,140.0,130.0,0.34,2
Ni,58.6934,1.91,1.35,1.24,1728.0,1.34e-05,91.0,638.0,180.0,200.0,0.31,2
Ag,107.8682,1.93,1.6,1.44,1234.93,1.89e-05,430.0,251.0,100.0,83.0,0.37,1
Sn,118.71,1.96,1.45,1.45,505.08,2.2e-05,67.0,,58.0,50.0,0.36,4
Hg,200.59,2.0,1.5,1.51,234.32,,8.3,,25.0,,,2
Ge,72.64,2.01,1.25,1.25,1211.4,6e-06,60.0,,,,,4
Bi,208.9804,2.02,1.6,1.6,544.4,1.34e-05,8.0,,31.0,32.0,0.33,5
B,10.811,2.04,0.85,0.85,2349.0,6e-06,27.0,49000.0,320.0,,,3
Sb,121.76,2.05,1.45,1.45,903.78,1.1e-05,24.0,,42.0,55.0,,5
Te,127.6,2.1,1.4,1.4,722.66,,3.0,,65.0,43.0,,6
Mo,95.94,2.16,1.45,1.39,2896.0,4.8e-06,139.0,1530.0,230.0,329.0,0.31,6
As,74.9216,2.18,1.15,1.15,1090.0,,50.0,,22.0,8.0,,5
P,30.973762,2.19,1.0,1.0,317.3,,0.236,,11.0,,,5
Ir,192.217,2.2,1.35,1.355,2739.0,6.4e-06,150.0,1760.0,320.0,528.0,0.26,6
Pd,106.42,2.2,1.4,1.37,1828.05,1.18e-05,72.0,461.0,180.0,121.0,0.39,4
Ru,101.07,2.2,1.3,1.34,2607.0,6.4e-06,120.0,,220.0,447.0,0.3,6
Os,190.23,2.2,1.3,1.35,3306.0,5.1e-06,88.0,,,,0.25,6
Rh,102.9055,2.28,1.35,1.34,2237.0,8.2e-06,150.0,1246.0,380.0,275.0,0.26,6
Pt,195.084,2.28,1.35,1.385,2041.4,8.8e-06,72.0,549.0,230.0,168.0,0.38,6
Pb,207.2,2.33,1.8,1.8,600.61,2.89e-05,35.0,,46.0,16.0,0.44,4
W,183.84,2.36,1.35,1.39,3695.0,4.5e-06,170.0,3430.0,310.0,411.0,0.28,6
Au,196.966569,2.54,1.35,1.44,1337.33,1.42e-05,320.0,216.0,220.0,78.0,0.44,5
Se,78.96,2.55,1.15,1.15,494.0,,0.52,,8.3,10.0,0.33,6
C,12.0107,2.55,0.7,0.7,3800.0,7.1e-06,140.0,,33.0,,,4
I,126.90447,2.66,1.4,1.4,386.85,,0.449,,7.7,,,7
Br,79.904,2.96,1.15,1.15,265.8,,0.12,,1.9,,,5
