Composition,Composition_A,spin_d_carbon,spin_d_A,egap,thermal_expansion,debye_temperature,formation_enthalpy,lattice_parameter,bulk_modulus,poissons_ratio,shear_modulus,youngs_modulus,thermal_conductivity,run_count
Ag1C1,Ag,0,0,0,7.87e-05,181.934,,4.676447739064723,114.983,0.445519,13.0009,37.5862,0.868197,1
C1Cd1,Cd,0,0,0,7.05804e-05,254.052,,4.854472085833889,100.944,0.384193,25.3362,70.1405,2.96884,1
C1Ce1,Ce,0,0,0,2.86091e-05,416.023,,5.190698322436448,130.533,0.264698,72.8587,184.289,28.801,2
C1Cr1,Cr,-0.385333333,2.573,0,3.71808e-05,602.206,,4.209821097455609,223.033,0.325967,87.8191,232.89,20.8326,3
C1Ge1,Ge,0,0,0,5.09519e-05,561.051,1.28253,4.386535977029699,164.558,0.245246,100.997,251.532,19.6338,1
C1Hf1,Hf,0,0,0,2.25939e-05,534.95,-0.947886074,4.649871036732654,239.433,0.191862,185.706,442.671,63.6972,27
C1Ir1,Ir,0.115,0.492,0,,,,4.382284137684066,,,,,,1
C1Mo1,Mo,0,0,0,1.97358e-05,685.006,,4.394609032435837,325.65,0.265415,181.109,458.355,58.2171,5
C1Nb1,Nb,0,0,0,1.84977e-05,737.988,,4.503532518210056,298.683,0.22431,201.772,494.064,78.8903,33
C1Ni1,Ni,0,0,0,3.90586e-05,496.981,,4.033674052373854,264.689,0.379263,69.5103,191.746,12.2368,1
C1Os1,Os,0,0,0,,,,4.357918373368611,,,,,,1
C1Pa1,Pa,0,0,0,2.08027e-05,316.019,,5.078608324871977,185.272,0.315993,77.7165,204.549,30.8236,2
C1Pd1,Pd,0,0,0,4.45288e-05,341.987,,4.425608244352119,210.867,0.396147,47.056,131.394,5.43069,2
C1Pt1,Pt,0,0,0,3.54733e-05,248.065,,4.453804441225389,259.283,0.422009,42.6618,121.331,3.85442,3
C1Pu1,Pu,0.34575,4.39625,0,,,,4.986226741,,,,,,8
C1Re1,Re,-0.0175,0.4265,0,,,,4.374979255761552,,,,,,2
C1Rh1,Rh,0.113,0.302,0,3.09355e-05,405.975,,4.346560893001479,280.367,0.390611,66.1628,184.014,10.6001,2
C1Ru1,Ru,0,0,0,2.79783e-05,204.963,,4.310003750335433,317.922,0.475088,16.1078,47.521,1.49975,1
C1Sc1,Sc,0,0,0,3.34434e-05,607.089,,4.759455625856309,146.644,0.294489,69.843,180.822,28.7652,3
C1Si1,Si,0,0,0,2.71302e-05,1026.21,0.535123,4.057948116675488,242.211,0.206966,176.416,425.857,60.7937,1
C1Sn1,Sn,0,0,0,5.65259e-05,444.036,,4.897830498697674,119.661,0.211036,85.6568,207.467,14.5718,1
C1Ta1,Ta,0,0,0,1.9468e-05,548.016,,4.505583045690644,315.444,0.237138,201.073,497.51,61.4198,37
C1Tc1,Tc,-0.114,1.385,0,5.51523e-05,439.187,,4.369897834433188,230.128,0.362243,69.8152,190.211,5.40894,1
C1Th1,Th,0,0,0,2.4455e-05,355.982,,5.480067955999349,147.5,0.250005,88.4978,221.245,29.595,10
C1Ti1,Ti,0,0,0,2.04122e-05,900.926,,4.406753196894705,238.772,0.201768,177.762,427.257,91.4544,34
C1Tl1,Tl,0,0,0,8.53159e-05,221.86,2.10401,5.039017403137862,85.1167,0.329857,32.6696,86.8919,2.90536,1
C1U1,U,-0.019565217,0.17621739130434783,0,,,,4.988857476498571,,,,,,23
C1V1,V,-0.000157895,0.000789474,0,1.92733e-05,941.103,,4.1907893521347335,295.661,0.206732,215.561,520.248,96.1928,19
C1W1,W,0,0,0,1.95616e-05,509.047,,4.405674486883399,357.694,0.286673,177.914,457.835,44.9704,3
C1Y1,Y,0,0,0,3.79264e-05,454.053,0.0366985,5.094144192203999,124.4,0.279353,64.3648,164.691,19.4086,2
C1Zr1,Zr,0,0,0,2.18376e-05,671.904,-0.812563833,4.724142289839402,220.867,0.212686,156.986,380.749,67.4411,42
C8Ti8,Ti,0,0,0,,,,4.403139976313448,,,,,,1
