Composition,Composition_A,spin_d_carbon,spin_d_A,egap,thermal_expansion,debye_temperature,formation_enthalpy,lattice_parameter,bulk_modulus,poissons_ratio,shear_modulus,youngs_modulus,thermal_conductivity,run_count
C1Ce1,Ce,0.0,0.0,0.0,2.86091e-05,416.023,nan,5.190698322436448,130.533,0.264698,72.8587,184.289,28.801,2.0
C1Cr1,Cr,-0.385333333,2.573,0.0,3.71808e-05,602.206,nan,4.209821097455609,223.033,0.325967,87.8191,232.89,20.8326,3.0
C1Hf1,Hf,0.0,0.0,0.0,2.25939e-05,534.95,-0.947886074,4.649871036732654,239.433,0.191862,185.706,442.671,63.6972,27.0
C1Ir1,Ir,0.115,0.492,0.0,nan,nan,nan,4.382284137684066,nan,nan,nan,nan,nan,1.0
C1Mo1,Mo,0.0,0.0,0.0,1.97358e-05,685.006,nan,4.394609032435837,325.65,0.265415,181.109,458.355,58.2171,5.0
C1Nb1,Nb,0.0,0.0,0.0,1.84977e-05,737.988,nan,4.503532518210056,298.683,0.22431,201.772,494.064,78.8903,33.0
C1Ni1,Ni,0.0,0.0,0.0,3.90586e-05,496.981,nan,4.033674052373854,264.689,0.379263,69.5103,191.746,12.2368,1.0
C1Os1,Os,0.0,0.0,0.0,nan,nan,nan,4.357918373368611,nan,nan,nan,nan,nan,1.0
C1Pa1,Pa,0.0,0.0,0.0,2.08027e-05,316.019,nan,5.078608324871977,185.272,0.315993,77.7165,204.549,30.8236,2.0
C1Pd1,Pd,0.0,0.0,0.0,4.45288e-05,341.987,nan,4.425608244352119,210.867,0.396147,47.056,131.394,5.43069,2.0
C1Pu1,Pu,0.34575,4.39625,0.0,nan,nan,nan,4.986226741,nan,nan,nan,nan,nan,8.0
C1Re1,Re,-0.0175,0.4265,0.0,nan,nan,nan,4.374979255761552,nan,nan,nan,nan,nan,2.0
C1Rh1,Rh,0.113,0.302,0.0,3.09355e-05,405.975,nan,4.346560893001479,280.367,0.390611,66.1628,184.014,10.6001,2.0
C1Ru1,Ru,0.0,0.0,0.0,2.79783e-05,204.963,nan,4.310003750335433,317.922,0.475088,16.1078,47.521,1.49975,1.0
C1Sc1,Sc,0.0,0.0,0.0,3.34434e-05,607.089,nan,4.759455625856309,146.644,0.294489,69.843,180.822,28.7652,3.0
C1Ta1,Ta,0.0,0.0,0.0,1.9468e-05,548.016,nan,4.505583045690644,315.444,0.237138,201.073,497.51,61.4198,37.0
C1Tc1,Tc,-0.114,1.385,0.0,5.51523e-05,439.187,nan,4.369897834433188,230.128,0.362243,69.8152,190.211,5.40894,1.0
C1Th1,Th,0.0,0.0,0.0,2.4455e-05,355.982,nan,5.480067955999349,147.5,0.250005,88.4978,221.245,29.595,10.0
C1Ti1,Ti,-7.89475e-05,0.000394737,0.0,1.9842750000000002e-05,921.0145,nan,4.298771274514719,267.2165,0.20425,196.6615,473.75250000000005,93.8236,26.5
C1W1,W,0.0,0.0,0.0,1.95616e-05,509.047,nan,4.405674486883399,357.694,0.286673,177.914,457.835,44.9704,3.0
C1Y1,Y,0.0,0.0,0.0,3.79264e-05,454.053,0.0366985,5.094144192203999,124.4,0.279353,64.3648,164.691,19.4086,2.0
C1Zr1,Zr,0.0,0.0,0.0,2.18376e-05,671.904,-0.812563833,4.724142289839402,220.867,0.212686,156.986,380.749,67.4411,42.0
C8Ti8,Ti,0.0,0.0,0.0,nan,nan,nan,4.403139976313448,nan,nan,nan,nan,nan,1.0
