Composition,Composition_A,spin_d_carbon,spin_d_A,egap,thermal_expansion,debye_temperature,formation_enthalpy,lattice_parameter,bulk_modulus,poissons_ratio,shear_modulus,youngs_modulus,thermal_conductivity,run_count
Al1C1,Al,0.0,0.0,,,,0.4858594,4.268915838296096,,,,,,2.5
C1Co1,Co,0.026,0.274,,,,0.8196567499999999,4.008847081990198,,,,,,4.0
C1Cr1,Cr,0.0,-0.0001999999999999,0.0,4.52484e-05,632.947,0.8239486555555556,4.093906717264526,247.842,0.308903,108.553,284.171,14.1711,4.0
C1Hf1,Hf,0.011,0.061,0.0,2.25116e-05,537.019,0.2447327144999999,4.528012993149308,237.737,0.189265,186.35,443.239,65.1477,5.0
C1Mn1,Mn,-0.07,1.1105,,2.05739e-05,611.957,0.260876075,4.239215831996116,334.083,0.312958,142.779,374.925,40.5291,4.5
C1Nb1,Nb,0.0,0.0004,0.0,1.8757e-05,730.085,0.8744760556000001,4.344074856484026,299.616,0.230638,196.74,484.231,75.4542,4.6
C1Rh1,Rh,0.069,0.1789999999999999,0.0,3.09355e-05,405.975,1.08719,4.358929120046274,280.367,0.390611,66.1628,184.014,10.6001,3.0
C1Ru1,Ru,0.0,0.0,0.0,2.64438e-05,579.1034999999999,0.0610719166666666,4.4956094958392585,237.4925,0.268749,139.8496,349.22,45.66745,10.666666666666666
C1Tc1,Tc,0.0,0.0,0.0,2.03383e-05,907.4635,-0.1970110666666666,4.279243032879405,277.4255,0.2162675,193.777,471.513,86.18215000000001,4.333333333333333
C1W1,W,-0.0237999999999999,0.2894,0.0,2.6626700000000004e-05,535.3326666666667,0.2712526061999999,4.543557670945672,234.94733333333335,0.267608,124.04676666666668,313.81766666666664,40.58476666666667,4.6
C2Fe2,Fe,0.0,0.0,,,,0.5981928571428572,3.993672125836484,,,,,,7.0
C2Hf2,Hf,0.0,0.0,,,,-0.9480747,4.6509103064491,,,,,,10.0
C2Mn2,Mn,-0.141125,2.085625,,,,0.309352125,4.0852022367834255,,,,,,8.0
C2Mo2,Mo,0.0,0.0,0.0,1.97358e-05,685.006,0.214948,4.382582659821558,325.65,0.265415,181.109,458.355,58.2171,1.0
C2Nb2,Nb,0.0,0.0,,,,-0.545584,4.482864827730056,,,,,,7.0
C2Sc2,Sc,0.000222222,0.000111111,0.0,3.34434e-05,607.089,-0.140045556,4.686219489819994,146.644,0.294489,69.843,180.822,28.7652,9.0
C2Ta2,Ta,0.0,0.0,0.0,1.9468e-05,548.016,-0.0272762647333332,4.495638524628932,315.444,0.237138,201.073,497.51,61.4198,7.8
C2Zr2,Zr,0.0,0.0,0.0,2.18376e-05,671.904,-0.6065552799999999,4.605515543942909,220.867,0.212686,156.986,380.749,67.4411,2.8
C3Ti3,Ti,0.0,0.0,0.0,,,-0.816932,4.337753018651543,,,,,,1.0
C3V3,V,0.0,0.0,,,,-0.08710156,4.569914087915332,,,,,,1.0
C4Nb4,Nb,0.0,0.0,,,,-0.5208115,4.496859074658408,,,,,,1.25
C4V4,V,0.0,0.0,,,,-0.19010885,4.628651256999454,,,,,,1.5
C4Zr4,Zr,-0.0508,0.6752,,,,-0.2155986666,4.388017603193108,,,,,,1.4
C8Nb8,Nb,0.0,0.0,,,,-0.3434045,4.585407654724132,,,,,,1.0
C8Ta8,Ta,0.0,0.0,,,,-0.3712180599999999,4.605471805824826,,,,,,1.0
C1Ce1,Ce,0.0,0.0,0.0,2.86091e-05,416.023,,5.190698322436448,130.533,0.264698,72.8587,184.289,28.801,2.0
C1Ir1,Ir,0.115,0.492,0.0,,,,4.382284137684066,,,,,,1.0
C1Ni1,Ni,0.0,0.0,0.0,3.90586e-05,496.981,,4.033674052373854,264.689,0.379263,69.5103,191.746,12.2368,1.0
C1Os1,Os,0.0,0.0,0.0,,,,4.357918373368611,,,,,,1.0
C1Pa1,Pa,0.0,0.0,0.0,2.08027e-05,316.019,,5.078608324871977,185.272,0.315993,77.7165,204.549,30.8236,2.0
C1Pd1,Pd,0.0,0.0,0.0,4.45288e-05,341.987,,4.425608244352119,210.867,0.396147,47.056,131.394,5.43069,2.0
C1Pu1,Pu,0.34575,4.39625,0.0,,,,4.986226741,,,,,,8.0
C1Re1,Re,-0.0175,0.4265,0.0,,,,4.374979255761552,,,,,,2.0
C1Th1,Th,0.0,0.0,0.0,2.4455e-05,355.982,,5.480067955999349,147.5,0.250005,88.4978,221.245,29.595,10.0
C1Y1,Y,0.0,0.0,0.0,3.79264e-05,454.053,0.0366985,5.094144192203999,124.4,0.279353,64.3648,164.691,19.4086,2.0
